compound_id	disease_id	compound_name	disease_name	n_trials
DB00104	DOID:1725	Octreotide	peritoneum cancer	2
DB00104	DOID:1781	Octreotide	thyroid cancer	1
DB00104	DOID:1793	Octreotide	pancreatic cancer	14
DB00104	DOID:184	Octreotide	bone cancer	1
DB00104	DOID:2355	Octreotide	anemia	1
DB00104	DOID:2531	Octreotide	hematologic cancer	1
DB00104	DOID:3277	Octreotide	thymus cancer	3
DB00104	DOID:3565	Octreotide	meningioma	1
DB00104	DOID:3571	Octreotide	liver cancer	5
DB00104	DOID:4362	Octreotide	cervical cancer	1
DB00104	DOID:4606	Octreotide	bile duct cancer	1
DB00104	DOID:5041	Octreotide	esophageal cancer	2
DB00104	DOID:5612	Octreotide	spinal cancer	1
DB00104	DOID:6364	Octreotide	migraine	1
DB00104	DOID:9352	Octreotide	type 2 diabetes mellitus	1
DB00104	DOID:9970	Octreotide	obesity	4
DB00121	DOID:0050425	Biotin	restless legs syndrome	1
DB00121	DOID:0060073	Biotin	lymphatic system cancer	1
DB00121	DOID:2355	Biotin	anemia	1
DB00121	DOID:2531	Biotin	hematologic cancer	1
DB00121	DOID:784	Biotin	chronic kidney failure	1
DB00121	DOID:9352	Biotin	type 2 diabetes mellitus	2
DB00122	DOID:0050741	Choline	alcohol dependence	1
DB00122	DOID:10283	Choline	prostate cancer	13
DB00122	DOID:10652	Choline	Alzheimer's disease	1
DB00122	DOID:12849	Choline	autistic disorder	1
DB00122	DOID:14221	Choline	metabolic syndrome X	1
DB00122	DOID:2531	Choline	hematologic cancer	3
DB00122	DOID:2841	Choline	asthma	1
DB00122	DOID:3070	Choline	malignant glioma	1
DB00122	DOID:3312	Choline	bipolar disorder	1
DB00122	DOID:3571	Choline	liver cancer	3
DB00122	DOID:5041	Choline	esophageal cancer	1
DB00122	DOID:5419	Choline	schizophrenia	2
DB00122	DOID:9835	Choline	refractive error	1
DB00126	DOID:0050425	Vitamin C	restless legs syndrome	1
DB00126	DOID:0060073	Vitamin C	lymphatic system cancer	1
DB00126	DOID:10283	Vitamin C	prostate cancer	3
DB00126	DOID:10652	Vitamin C	Alzheimer's disease	1
DB00126	DOID:1094	Vitamin C	attention deficit hyperactivity disorder	1
DB00126	DOID:11714	Vitamin C	gestational diabetes	1
DB00126	DOID:12365	Vitamin C	malaria	1
DB00126	DOID:12849	Vitamin C	autistic disorder	1
DB00126	DOID:1319	Vitamin C	brain cancer	1
DB00126	DOID:13223	Vitamin C	uterine fibroid	1
DB00126	DOID:1324	Vitamin C	lung cancer	2
DB00126	DOID:14221	Vitamin C	metabolic syndrome X	1
DB00126	DOID:1612	Vitamin C	breast cancer	2
DB00126	DOID:1793	Vitamin C	pancreatic cancer	7
DB00126	DOID:1826	Vitamin C	epilepsy syndrome	1
DB00126	DOID:1936	Vitamin C	atherosclerosis	1
DB00126	DOID:2355	Vitamin C	anemia	9
DB00126	DOID:2394	Vitamin C	ovarian cancer	1
DB00126	DOID:2531	Vitamin C	hematologic cancer	19
DB00126	DOID:2841	Vitamin C	asthma	1
DB00126	DOID:3070	Vitamin C	malignant glioma	4
DB00126	DOID:3083	Vitamin C	chronic obstructive pulmonary disease	1
DB00126	DOID:3310	Vitamin C	atopic dermatitis	1
DB00126	DOID:3393	Vitamin C	coronary artery disease	2
DB00126	DOID:3571	Vitamin C	liver cancer	1
DB00126	DOID:363	Vitamin C	uterine cancer	1
DB00126	DOID:4159	Vitamin C	skin cancer	1
DB00126	DOID:4362	Vitamin C	cervical cancer	1
DB00126	DOID:6364	Vitamin C	migraine	1
DB00126	DOID:784	Vitamin C	chronic kidney failure	2
DB00126	DOID:8577	Vitamin C	ulcerative colitis	1
DB00126	DOID:9352	Vitamin C	type 2 diabetes mellitus	7
DB00126	DOID:9744	Vitamin C	type 1 diabetes mellitus	2
DB00126	DOID:9970	Vitamin C	obesity	1
DB00136	DOID:0050742	Calcitriol	nicotine dependence	1
DB00136	DOID:10283	Calcitriol	prostate cancer	15
DB00136	DOID:10763	Calcitriol	hypertension	1
DB00136	DOID:11476	Calcitriol	osteoporosis	2
DB00136	DOID:1324	Calcitriol	lung cancer	4
DB00136	DOID:1612	Calcitriol	breast cancer	5
DB00136	DOID:1793	Calcitriol	pancreatic cancer	2
DB00136	DOID:184	Calcitriol	bone cancer	1
DB00136	DOID:1909	Calcitriol	melanoma	1
DB00136	DOID:2355	Calcitriol	anemia	2
DB00136	DOID:2531	Calcitriol	hematologic cancer	3
DB00136	DOID:2841	Calcitriol	asthma	1
DB00136	DOID:2986	Calcitriol	IgA glomerulonephritis	3
DB00136	DOID:3571	Calcitriol	liver cancer	1
DB00136	DOID:4159	Calcitriol	skin cancer	1
DB00136	DOID:4362	Calcitriol	cervical cancer	1
DB00136	DOID:4606	Calcitriol	bile duct cancer	1
DB00136	DOID:7148	Calcitriol	rheumatoid arthritis	1
DB00136	DOID:784	Calcitriol	chronic kidney failure	5
DB00136	DOID:8778	Calcitriol	Crohn's disease	2
DB00136	DOID:8893	Calcitriol	psoriasis	39
DB00136	DOID:9074	Calcitriol	systemic lupus erythematosus	2
DB00136	DOID:9744	Calcitriol	type 1 diabetes mellitus	2
DB00140	DOID:10763	Riboflavin	hypertension	1
DB00140	DOID:3393	Riboflavin	coronary artery disease	1
DB00140	DOID:4362	Riboflavin	cervical cancer	1
DB00140	DOID:7148	Riboflavin	rheumatoid arthritis	1
DB00140	DOID:8778	Riboflavin	Crohn's disease	1
DB00140	DOID:8893	Riboflavin	psoriasis	1
DB00140	DOID:9074	Riboflavin	systemic lupus erythematosus	1
DB00140	DOID:9835	Riboflavin	refractive error	1
DB00145	DOID:0050741	Glycine	alcohol dependence	1
DB00145	DOID:0050742	Glycine	nicotine dependence	1
DB00145	DOID:1094	Glycine	attention deficit hyperactivity disorder	1
DB00145	DOID:14221	Glycine	metabolic syndrome X	1
DB00145	DOID:1595	Glycine	endogenous depression	1
DB00145	DOID:2355	Glycine	anemia	4
DB00145	DOID:3312	Glycine	bipolar disorder	1
DB00145	DOID:5419	Glycine	schizophrenia	8
DB00146	DOID:3393	Calcidiol	coronary artery disease	1
DB00146	DOID:784	Calcidiol	chronic kidney failure	2
DB00147	DOID:1094	Pyridoxal	attention deficit hyperactivity disorder	1
DB00147	DOID:12849	Pyridoxal	autistic disorder	1
DB00147	DOID:13223	Pyridoxal	uterine fibroid	1
DB00147	DOID:14221	Pyridoxal	metabolic syndrome X	1
DB00147	DOID:14330	Pyridoxal	Parkinson's disease	2
DB00147	DOID:1612	Pyridoxal	breast cancer	2
DB00147	DOID:1725	Pyridoxal	peritoneum cancer	1
DB00147	DOID:1826	Pyridoxal	epilepsy syndrome	2
DB00147	DOID:1964	Pyridoxal	fallopian tube cancer	1
DB00147	DOID:2531	Pyridoxal	hematologic cancer	5
DB00147	DOID:3393	Pyridoxal	coronary artery disease	4
DB00147	DOID:3571	Pyridoxal	liver cancer	1
DB00147	DOID:6364	Pyridoxal	migraine	1
DB00147	DOID:8893	Pyridoxal	psoriasis	1
DB00147	DOID:9352	Pyridoxal	type 2 diabetes mellitus	1
DB00152	DOID:90	Thiamine	degenerative disc disease	1
DB00158	DOID:0050742	Folic Acid	nicotine dependence	1
DB00158	DOID:0060073	Folic Acid	lymphatic system cancer	3
DB00158	DOID:10283	Folic Acid	prostate cancer	1
DB00158	DOID:10534	Folic Acid	stomach cancer	6
DB00158	DOID:10763	Folic Acid	hypertension	7
DB00158	DOID:11054	Folic Acid	urinary bladder cancer	1
DB00158	DOID:1115	Folic Acid	sarcoma	1
DB00158	DOID:11612	Folic Acid	polycystic ovary syndrome	9
DB00158	DOID:11714	Folic Acid	gestational diabetes	4
DB00158	DOID:11934	Folic Acid	head and neck cancer	2
DB00158	DOID:12365	Folic Acid	malaria	2
DB00158	DOID:12849	Folic Acid	autistic disorder	3
DB00158	DOID:1319	Folic Acid	brain cancer	2
DB00158	DOID:1324	Folic Acid	lung cancer	8
DB00158	DOID:14330	Folic Acid	Parkinson's disease	2
DB00158	DOID:1595	Folic Acid	endogenous depression	3
DB00158	DOID:1612	Folic Acid	breast cancer	13
DB00158	DOID:1793	Folic Acid	pancreatic cancer	10
DB00158	DOID:184	Folic Acid	bone cancer	1
DB00158	DOID:1936	Folic Acid	atherosclerosis	2
DB00158	DOID:1993	Folic Acid	rectum cancer	5
DB00158	DOID:219	Folic Acid	colon cancer	1
DB00158	DOID:2355	Folic Acid	anemia	13
DB00158	DOID:2394	Folic Acid	ovarian cancer	4
DB00158	DOID:2531	Folic Acid	hematologic cancer	15
DB00158	DOID:263	Folic Acid	kidney cancer	1
DB00158	DOID:2994	Folic Acid	germ cell cancer	3
DB00158	DOID:2998	Folic Acid	testicular cancer	1
DB00158	DOID:3070	Folic Acid	malignant glioma	1
DB00158	DOID:3121	Folic Acid	gallbladder cancer	1
DB00158	DOID:3312	Folic Acid	bipolar disorder	1
DB00158	DOID:3393	Folic Acid	coronary artery disease	9
DB00158	DOID:3571	Folic Acid	liver cancer	7
DB00158	DOID:363	Folic Acid	uterine cancer	1
DB00158	DOID:4362	Folic Acid	cervical cancer	3
DB00158	DOID:4606	Folic Acid	bile duct cancer	2
DB00158	DOID:5041	Folic Acid	esophageal cancer	6
DB00158	DOID:5419	Folic Acid	schizophrenia	4
DB00158	DOID:635	Folic Acid	acquired immunodeficiency syndrome	2
DB00158	DOID:7148	Folic Acid	rheumatoid arthritis	14
DB00158	DOID:784	Folic Acid	chronic kidney failure	3
DB00158	DOID:8893	Folic Acid	psoriasis	1
DB00158	DOID:9074	Folic Acid	systemic lupus erythematosus	1
DB00158	DOID:9296	Folic Acid	cleft lip	1
DB00158	DOID:9744	Folic Acid	type 1 diabetes mellitus	1
DB00162	DOID:12365	Vitamin A	malaria	3
DB00162	DOID:1686	Vitamin A	glaucoma	1
DB00162	DOID:1936	Vitamin A	atherosclerosis	2
DB00162	DOID:2355	Vitamin A	anemia	5
DB00162	DOID:2377	Vitamin A	multiple sclerosis	4
DB00162	DOID:2394	Vitamin A	ovarian cancer	1
DB00162	DOID:2531	Vitamin A	hematologic cancer	1
DB00162	DOID:2841	Vitamin A	asthma	1
DB00162	DOID:3070	Vitamin A	malignant glioma	2
DB00162	DOID:6364	Vitamin A	migraine	1
DB00162	DOID:9970	Vitamin A	obesity	1
DB00163	DOID:0050425	Vitamin E	restless legs syndrome	1
DB00163	DOID:10283	Vitamin E	prostate cancer	9
DB00163	DOID:10652	Vitamin E	Alzheimer's disease	6
DB00163	DOID:10871	Vitamin E	age related macular degeneration	2
DB00163	DOID:1094	Vitamin E	attention deficit hyperactivity disorder	1
DB00163	DOID:11054	Vitamin E	urinary bladder cancer	1
DB00163	DOID:11934	Vitamin E	head and neck cancer	3
DB00163	DOID:12365	Vitamin E	malaria	1
DB00163	DOID:1324	Vitamin E	lung cancer	5
DB00163	DOID:14221	Vitamin E	metabolic syndrome X	4
DB00163	DOID:14330	Vitamin E	Parkinson's disease	1
DB00163	DOID:1595	Vitamin E	endogenous depression	1
DB00163	DOID:1612	Vitamin E	breast cancer	4
DB00163	DOID:1686	Vitamin E	glaucoma	1
DB00163	DOID:1793	Vitamin E	pancreatic cancer	3
DB00163	DOID:1826	Vitamin E	epilepsy syndrome	1
DB00163	DOID:1936	Vitamin E	atherosclerosis	3
DB00163	DOID:2043	Vitamin E	hepatitis B	1
DB00163	DOID:2355	Vitamin E	anemia	2
DB00163	DOID:2394	Vitamin E	ovarian cancer	3
DB00163	DOID:2841	Vitamin E	asthma	2
DB00163	DOID:3083	Vitamin E	chronic obstructive pulmonary disease	2
DB00163	DOID:332	Vitamin E	amyotrophic lateral sclerosis	1
DB00163	DOID:3393	Vitamin E	coronary artery disease	5
DB00163	DOID:4159	Vitamin E	skin cancer	2
DB00163	DOID:5419	Vitamin E	schizophrenia	2
DB00163	DOID:6364	Vitamin E	migraine	1
DB00163	DOID:7148	Vitamin E	rheumatoid arthritis	2
DB00163	DOID:784	Vitamin E	chronic kidney failure	7
DB00163	DOID:8398	Vitamin E	osteoarthritis	1
DB00163	DOID:8577	Vitamin E	ulcerative colitis	1
DB00163	DOID:8778	Vitamin E	Crohn's disease	1
DB00163	DOID:9352	Vitamin E	type 2 diabetes mellitus	4
DB00163	DOID:9744	Vitamin E	type 1 diabetes mellitus	2
DB00163	DOID:9970	Vitamin E	obesity	1
DB00165	DOID:1094	Pyridoxine	attention deficit hyperactivity disorder	2
DB00165	DOID:12849	Pyridoxine	autistic disorder	1
DB00165	DOID:13223	Pyridoxine	uterine fibroid	1
DB00165	DOID:14330	Pyridoxine	Parkinson's disease	2
DB00165	DOID:1612	Pyridoxine	breast cancer	2
DB00165	DOID:1725	Pyridoxine	peritoneum cancer	1
DB00165	DOID:1826	Pyridoxine	epilepsy syndrome	2
DB00165	DOID:1964	Pyridoxine	fallopian tube cancer	1
DB00165	DOID:2531	Pyridoxine	hematologic cancer	5
DB00165	DOID:3393	Pyridoxine	coronary artery disease	2
DB00165	DOID:3571	Pyridoxine	liver cancer	1
DB00165	DOID:5419	Pyridoxine	schizophrenia	1
DB00165	DOID:635	Pyridoxine	acquired immunodeficiency syndrome	4
DB00165	DOID:6364	Pyridoxine	migraine	1
DB00165	DOID:8893	Pyridoxine	psoriasis	1
DB00166	DOID:10652	Lipoic Acid	Alzheimer's disease	3
DB00166	DOID:10763	Lipoic Acid	hypertension	2
DB00166	DOID:10871	Lipoic Acid	age related macular degeneration	1
DB00166	DOID:11612	Lipoic Acid	polycystic ovary syndrome	3
DB00166	DOID:12849	Lipoic Acid	autistic disorder	1
DB00166	DOID:14221	Lipoic Acid	metabolic syndrome X	2
DB00166	DOID:1595	Lipoic Acid	endogenous depression	1
DB00166	DOID:1781	Lipoic Acid	thyroid cancer	1
DB00166	DOID:1936	Lipoic Acid	atherosclerosis	2
DB00166	DOID:2377	Lipoic Acid	multiple sclerosis	6
DB00166	DOID:3312	Lipoic Acid	bipolar disorder	1
DB00166	DOID:3393	Lipoic Acid	coronary artery disease	1
DB00166	DOID:5419	Lipoic Acid	schizophrenia	1
DB00166	DOID:635	Lipoic Acid	acquired immunodeficiency syndrome	1
DB00166	DOID:784	Lipoic Acid	chronic kidney failure	1
DB00166	DOID:9352	Lipoic Acid	type 2 diabetes mellitus	4
DB00166	DOID:9744	Lipoic Acid	type 1 diabetes mellitus	1
DB00166	DOID:9835	Lipoic Acid	refractive error	1
DB00166	DOID:9970	Lipoic Acid	obesity	2
DB00169	DOID:0060073	Cholecalciferol	lymphatic system cancer	2
DB00169	DOID:10283	Cholecalciferol	prostate cancer	12
DB00169	DOID:10763	Cholecalciferol	hypertension	9
DB00169	DOID:10871	Cholecalciferol	age related macular degeneration	1
DB00169	DOID:11476	Cholecalciferol	osteoporosis	27
DB00169	DOID:11612	Cholecalciferol	polycystic ovary syndrome	5
DB00169	DOID:11714	Cholecalciferol	gestational diabetes	1
DB00169	DOID:1192	Cholecalciferol	peripheral nervous system neoplasm	1
DB00169	DOID:12361	Cholecalciferol	Graves' disease	1
DB00169	DOID:12849	Cholecalciferol	autistic disorder	1
DB00169	DOID:14221	Cholecalciferol	metabolic syndrome X	5
DB00169	DOID:14330	Cholecalciferol	Parkinson's disease	3
DB00169	DOID:1595	Cholecalciferol	endogenous depression	5
DB00169	DOID:1612	Cholecalciferol	breast cancer	17
DB00169	DOID:1725	Cholecalciferol	peritoneum cancer	1
DB00169	DOID:1909	Cholecalciferol	melanoma	2
DB00169	DOID:1936	Cholecalciferol	atherosclerosis	3
DB00169	DOID:1993	Cholecalciferol	rectum cancer	1
DB00169	DOID:219	Cholecalciferol	colon cancer	1
DB00169	DOID:2355	Cholecalciferol	anemia	4
DB00169	DOID:2377	Cholecalciferol	multiple sclerosis	14
DB00169	DOID:2394	Cholecalciferol	ovarian cancer	1
DB00169	DOID:2531	Cholecalciferol	hematologic cancer	9
DB00169	DOID:2841	Cholecalciferol	asthma	13
DB00169	DOID:3083	Cholecalciferol	chronic obstructive pulmonary disease	5
DB00169	DOID:3310	Cholecalciferol	atopic dermatitis	4
DB00169	DOID:3312	Cholecalciferol	bipolar disorder	1
DB00169	DOID:3393	Cholecalciferol	coronary artery disease	1
DB00169	DOID:3571	Cholecalciferol	liver cancer	2
DB00169	DOID:4159	Cholecalciferol	skin cancer	1
DB00169	DOID:4989	Cholecalciferol	pancreatitis	2
DB00169	DOID:5419	Cholecalciferol	schizophrenia	2
DB00169	DOID:635	Cholecalciferol	acquired immunodeficiency syndrome	2
DB00169	DOID:6364	Cholecalciferol	migraine	2
DB00169	DOID:7148	Cholecalciferol	rheumatoid arthritis	5
DB00169	DOID:784	Cholecalciferol	chronic kidney failure	11
DB00169	DOID:8398	Cholecalciferol	osteoarthritis	4
DB00169	DOID:8577	Cholecalciferol	ulcerative colitis	4
DB00169	DOID:8778	Cholecalciferol	Crohn's disease	10
DB00169	DOID:8893	Cholecalciferol	psoriasis	4
DB00169	DOID:9074	Cholecalciferol	systemic lupus erythematosus	7
DB00169	DOID:9206	Cholecalciferol	Barrett's esophagus	1
DB00169	DOID:9352	Cholecalciferol	type 2 diabetes mellitus	16
DB00169	DOID:9744	Cholecalciferol	type 1 diabetes mellitus	6
DB00169	DOID:9970	Cholecalciferol	obesity	6
DB00175	DOID:10534	Pravastatin	stomach cancer	1
DB00175	DOID:10652	Pravastatin	Alzheimer's disease	1
DB00175	DOID:10763	Pravastatin	hypertension	3
DB00175	DOID:1324	Pravastatin	lung cancer	1
DB00175	DOID:13378	Pravastatin	Kawasaki disease	1
DB00175	DOID:14221	Pravastatin	metabolic syndrome X	1
DB00175	DOID:1595	Pravastatin	endogenous depression	1
DB00175	DOID:1936	Pravastatin	atherosclerosis	1
DB00175	DOID:2377	Pravastatin	multiple sclerosis	1
DB00175	DOID:2531	Pravastatin	hematologic cancer	5
DB00175	DOID:3393	Pravastatin	coronary artery disease	6
DB00175	DOID:3571	Pravastatin	liver cancer	4
DB00175	DOID:5041	Pravastatin	esophageal cancer	1
DB00175	DOID:5419	Pravastatin	schizophrenia	2
DB00175	DOID:635	Pravastatin	acquired immunodeficiency syndrome	1
DB00175	DOID:7148	Pravastatin	rheumatoid arthritis	1
DB00175	DOID:8778	Pravastatin	Crohn's disease	1
DB00175	DOID:9352	Pravastatin	type 2 diabetes mellitus	3
DB00176	DOID:12849	Fluvoxamine	autistic disorder	1
DB00176	DOID:1595	Fluvoxamine	endogenous depression	4
DB00176	DOID:5419	Fluvoxamine	schizophrenia	3
DB00178	DOID:10652	Ramipril	Alzheimer's disease	1
DB00178	DOID:10763	Ramipril	hypertension	28
DB00178	DOID:14221	Ramipril	metabolic syndrome X	5
DB00178	DOID:1612	Ramipril	breast cancer	1
DB00178	DOID:1936	Ramipril	atherosclerosis	3
DB00178	DOID:3393	Ramipril	coronary artery disease	5
DB00178	DOID:6364	Ramipril	migraine	1
DB00178	DOID:7148	Ramipril	rheumatoid arthritis	1
DB00178	DOID:784	Ramipril	chronic kidney failure	1
DB00178	DOID:9352	Ramipril	type 2 diabetes mellitus	6
DB00178	DOID:9744	Ramipril	type 1 diabetes mellitus	2
DB00179	DOID:10283	Masoprocol	prostate cancer	1
DB00179	DOID:11934	Masoprocol	head and neck cancer	1
DB00179	DOID:2531	Masoprocol	hematologic cancer	1
DB00179	DOID:3070	Masoprocol	malignant glioma	1
DB00180	DOID:3083	Flunisolide	chronic obstructive pulmonary disease	1
DB00181	DOID:2377	Baclofen	multiple sclerosis	1
DB00182	DOID:1094	Amphetamine	attention deficit hyperactivity disorder	24
DB00182	DOID:1595	Amphetamine	endogenous depression	4
DB00182	DOID:2377	Amphetamine	multiple sclerosis	2
DB00182	DOID:3312	Amphetamine	bipolar disorder	2
DB00182	DOID:5419	Amphetamine	schizophrenia	2
DB00184	DOID:0050741	Nicotine	alcohol dependence	3
DB00184	DOID:0050742	Nicotine	nicotine dependence	86
DB00184	DOID:10283	Nicotine	prostate cancer	1
DB00184	DOID:10534	Nicotine	stomach cancer	2
DB00184	DOID:1094	Nicotine	attention deficit hyperactivity disorder	2
DB00184	DOID:11054	Nicotine	urinary bladder cancer	2
DB00184	DOID:1115	Nicotine	sarcoma	1
DB00184	DOID:11934	Nicotine	head and neck cancer	4
DB00184	DOID:12849	Nicotine	autistic disorder	1
DB00184	DOID:1324	Nicotine	lung cancer	3
DB00184	DOID:14221	Nicotine	metabolic syndrome X	1
DB00184	DOID:14330	Nicotine	Parkinson's disease	5
DB00184	DOID:1595	Nicotine	endogenous depression	2
DB00184	DOID:1612	Nicotine	breast cancer	1
DB00184	DOID:1793	Nicotine	pancreatic cancer	2
DB00184	DOID:2841	Nicotine	asthma	1
DB00184	DOID:3083	Nicotine	chronic obstructive pulmonary disease	3
DB00184	DOID:3312	Nicotine	bipolar disorder	1
DB00184	DOID:3393	Nicotine	coronary artery disease	4
DB00184	DOID:3571	Nicotine	liver cancer	2
DB00184	DOID:4362	Nicotine	cervical cancer	3
DB00184	DOID:5041	Nicotine	esophageal cancer	3
DB00184	DOID:5419	Nicotine	schizophrenia	22
DB00185	DOID:11934	Cevimeline	head and neck cancer	1
DB00186	DOID:0050741	Lorazepam	alcohol dependence	1
DB00186	DOID:10652	Lorazepam	Alzheimer's disease	2
DB00186	DOID:1595	Lorazepam	endogenous depression	4
DB00186	DOID:1826	Lorazepam	epilepsy syndrome	11
DB00186	DOID:3312	Lorazepam	bipolar disorder	1
DB00186	DOID:5419	Lorazepam	schizophrenia	4
DB00187	DOID:10763	Esmolol	hypertension	1
DB00187	DOID:10941	Esmolol	intracranial aneurysm	2
DB00187	DOID:1319	Esmolol	brain cancer	1
DB00187	DOID:3393	Esmolol	coronary artery disease	3
DB00190	DOID:10763	Carbidopa	hypertension	1
DB00190	DOID:1094	Carbidopa	attention deficit hyperactivity disorder	1
DB00190	DOID:14330	Carbidopa	Parkinson's disease	74
DB00190	DOID:2841	Carbidopa	asthma	1
DB00190	DOID:5419	Carbidopa	schizophrenia	1
DB00190	DOID:8986	Carbidopa	narcolepsy	1
DB00191	DOID:10652	Phentermine	Alzheimer's disease	1
DB00191	DOID:11612	Phentermine	polycystic ovary syndrome	1
DB00191	DOID:14221	Phentermine	metabolic syndrome X	1
DB00191	DOID:14330	Phentermine	Parkinson's disease	1
DB00191	DOID:9970	Phentermine	obesity	5
DB00193	DOID:1909	Tramadol	melanoma	1
DB00193	DOID:2174	Tramadol	ocular cancer	1
DB00193	DOID:585	Tramadol	nephrolithiasis	1
DB00193	DOID:6364	Tramadol	migraine	1
DB00193	DOID:7147	Tramadol	ankylosing spondylitis	1
DB00193	DOID:7148	Tramadol	rheumatoid arthritis	1
DB00193	DOID:824	Tramadol	periodontitis	1
DB00193	DOID:8398	Tramadol	osteoarthritis	14
DB00193	DOID:9352	Tramadol	type 2 diabetes mellitus	1
DB00193	DOID:9744	Tramadol	type 1 diabetes mellitus	1
DB00194	DOID:0060073	Vidarabine	lymphatic system cancer	38
DB00194	DOID:10283	Vidarabine	prostate cancer	1
DB00194	DOID:10534	Vidarabine	stomach cancer	1
DB00194	DOID:1192	Vidarabine	peripheral nervous system neoplasm	2
DB00194	DOID:11934	Vidarabine	head and neck cancer	2
DB00194	DOID:1725	Vidarabine	peritoneum cancer	1
DB00194	DOID:1793	Vidarabine	pancreatic cancer	1
DB00194	DOID:1909	Vidarabine	melanoma	7
DB00194	DOID:1964	Vidarabine	fallopian tube cancer	1
DB00194	DOID:2174	Vidarabine	ocular cancer	1
DB00194	DOID:2355	Vidarabine	anemia	27
DB00194	DOID:2394	Vidarabine	ovarian cancer	1
DB00194	DOID:2531	Vidarabine	hematologic cancer	161
DB00194	DOID:263	Vidarabine	kidney cancer	5
DB00194	DOID:4159	Vidarabine	skin cancer	1
DB00194	DOID:418	Vidarabine	systemic scleroderma	1
DB00194	DOID:635	Vidarabine	acquired immunodeficiency syndrome	1
DB00194	DOID:8778	Vidarabine	Crohn's disease	1
DB00194	DOID:9074	Vidarabine	systemic lupus erythematosus	2
DB00195	DOID:10763	Betaxolol	hypertension	1
