nct_id	compound_id	compound_name	disease_id	disease_name
NCT02178124	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02305836	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02337907	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02550665	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02580305	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02585934	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02695004	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT02711683	DB00843	Donepezil	DOID:10652	Alzheimer's disease
NCT00306124	DB00988	Dopamine	DOID:10652	Alzheimer's disease
NCT00439166	DB00254	Doxycycline	DOID:10652	Alzheimer's disease
NCT00692588	DB00254	Doxycycline	DOID:10652	Alzheimer's disease
NCT00715858	DB00254	Doxycycline	DOID:10652	Alzheimer's disease
NCT01608217	DB00470	Dronabinol	DOID:10652	Alzheimer's disease
NCT00066157	DB00783	Estradiol	DOID:10652	Alzheimer's disease
NCT00860275	DB00196	Fluconazole	DOID:10652	Alzheimer's disease
NCT00000172	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00035204	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00082602	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00216502	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00216515	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00216593	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00236431	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00236574	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00253188	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00253201	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00253214	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00253227	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00261573	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00283725	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00297362	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00299676	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00301574	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00304629	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00309725	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00338117	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00348140	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00369603	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00523666	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00645190	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00679627	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00750529	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT00814801	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01009476	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01039194	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01054976	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01181921	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01362686	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01478633	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01734395	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT01921972	DB00674	Galantamine	DOID:10652	Alzheimer's disease
NCT02045056	DB01241	Gemfibrozil	DOID:10652	Alzheimer's disease
NCT00000179	DB00502	Haloperidol	DOID:10652	Alzheimer's disease
NCT00009217	DB00502	Haloperidol	DOID:10652	Alzheimer's disease
NCT00385684	DB00956	Hydrocodone	DOID:10652	Alzheimer's disease
NCT01436188	DB01050	Ibuprofen	DOID:10652	Alzheimer's disease
NCT00432081	DB00328	Indomethacin	DOID:10652	Alzheimer's disease
NCT02323217	DB01247	Isocarboxazid	DOID:10652	Alzheimer's disease
NCT01640275	DB00753	Isoflurane	DOID:10652	Alzheimer's disease
NCT01903421	DB00753	Isoflurane	DOID:10652	Alzheimer's disease
NCT01993836	DB00753	Isoflurane	DOID:10652	Alzheimer's disease
NCT01560585	DB00982	Isotretinoin	DOID:10652	Alzheimer's disease
NCT02130661	DB01167	Itraconazole	DOID:10652	Alzheimer's disease
NCT02323334	DB01167	Itraconazole	DOID:10652	Alzheimer's disease
NCT00860275	DB01026	Ketoconazole	DOID:10652	Alzheimer's disease
NCT00931073	DB01026	Ketoconazole	DOID:10652	Alzheimer's disease
NCT00306124	DB01235	L-DOPA	DOID:10652	Alzheimer's disease
NCT01554683	DB01202	Levetiracetam	DOID:10652	Alzheimer's disease
NCT02002819	DB01202	Levetiracetam	DOID:10652	Alzheimer's disease
NCT00090402	DB00166	Lipoic Acid	DOID:10652	Alzheimer's disease
NCT00117403	DB00166	Lipoic Acid	DOID:10652	Alzheimer's disease
NCT01058941	DB00166	Lipoic Acid	DOID:10652	Alzheimer's disease
NCT01055392	DB01356	Lithium	DOID:10652	Alzheimer's disease
NCT02129348	DB01356	Lithium	DOID:10652	Alzheimer's disease
NCT00586430	DB00186	Lorazepam	DOID:10652	Alzheimer's disease
NCT01780519	DB00186	Lorazepam	DOID:10652	Alzheimer's disease
NCT01117948	DB06725	Lornoxicam	DOID:10652	Alzheimer's disease
NCT00066157	DB00603	Medroxyprogesterone Acetate	DOID:10652	Alzheimer's disease
NCT00000171	DB01065	Melatonin	DOID:10652	Alzheimer's disease
NCT00940589	DB01065	Melatonin	DOID:10652	Alzheimer's disease
NCT00097916	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00120874	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00234637	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00235716	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00255086	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00305903	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00322153	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00334906	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00401167	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00469456	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00476008	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00505167	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00551161	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00624026	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00649220	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00703430	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00800709	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00804271	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00829816	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00857233	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00857649	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00862940	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00866060	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT00933608	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT01025466	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT01409694	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT01876823	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT01921972	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT02079246	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT02288000	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT02553928	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT02580305	DB01043	Memantine	DOID:10652	Alzheimer's disease
NCT01965756	DB00331	Metformin	DOID:10652	Alzheimer's disease
NCT00254033	DB00422	Methylphenidate	DOID:10652	Alzheimer's disease
NCT00495820	DB00422	Methylphenidate	DOID:10652	Alzheimer's disease
NCT00792662	DB00422	Methylphenidate	DOID:10652	Alzheimer's disease
NCT01117181	DB00422	Methylphenidate	DOID:10652	Alzheimer's disease
NCT02346201	DB00422	Methylphenidate	DOID:10652	Alzheimer's disease
NCT00392912	DB06710	Methyltestosterone	DOID:10652	Alzheimer's disease
NCT00539305	DB06710	Methyltestosterone	DOID:10652	Alzheimer's disease
NCT01867775	DB06148	Mianserin	DOID:10652	Alzheimer's disease
NCT00692510	DB00683	Midazolam	DOID:10652	Alzheimer's disease
NCT00726726	DB00683	Midazolam	DOID:10652	Alzheimer's disease
NCT00105105	DB00834	Mifepristone	DOID:10652	Alzheimer's disease
NCT01463384	DB01017	Minocycline	DOID:10652	Alzheimer's disease
NCT01505504	DB00370	Mirtazapine	DOID:10652	Alzheimer's disease
NCT01867775	DB00370	Mirtazapine	DOID:10652	Alzheimer's disease
NCT00626210	DB00745	Modafinil	DOID:10652	Alzheimer's disease
NCT01172145	DB00745	Modafinil	DOID:10652	Alzheimer's disease
NCT00499642	DB00218	Moxifloxacin	DOID:10652	Alzheimer's disease
NCT00884533	DB00218	Moxifloxacin	DOID:10652	Alzheimer's disease
NCT00979316	DB00218	Moxifloxacin	DOID:10652	Alzheimer's disease
NCT02040987	DB00218	Moxifloxacin	DOID:10652	Alzheimer's disease
NCT02351882	DB00486	Nabilone	DOID:10652	Alzheimer's disease
NCT00004845	DB00788	Naproxen	DOID:10652	Alzheimer's disease
NCT00007189	DB00788	Naproxen	DOID:10652	Alzheimer's disease
NCT02702817	DB00788	Naproxen	DOID:10652	Alzheimer's disease
NCT00580931	DB00627	Niacin	DOID:10652	Alzheimer's disease
NCT02017340	DB01115	Nifedipine	DOID:10652	Alzheimer's disease
NCT02017340	DB06712	Nilvadipine	DOID:10652	Alzheimer's disease
NCT00208819	DB00334	Olanzapine	DOID:10652	Alzheimer's disease
NCT00245206	DB00334	Olanzapine	DOID:10652	Alzheimer's disease
NCT00692510	DB00338	Omeprazole	DOID:10652	Alzheimer's disease
NCT00726726	DB00338	Omeprazole	DOID:10652	Alzheimer's disease
NCT00931073	DB00338	Omeprazole	DOID:10652	Alzheimer's disease
NCT00385684	DB00497	Oxycodone	DOID:10652	Alzheimer's disease
NCT02085265	DB00790	Perindopril	DOID:10652	Alzheimer's disease
NCT01192529	DB00191	Phentermine	DOID:10652	Alzheimer's disease
NCT00726726	DB01022	Phylloquinone	DOID:10652	Alzheimer's disease
NCT00982202	DB01132	Pioglitazone	DOID:10652	Alzheimer's disease
NCT01931566	DB01132	Pioglitazone	DOID:10652	Alzheimer's disease
NCT02284906	DB01132	Pioglitazone	DOID:10652	Alzheimer's disease
NCT00548145	DB08860	Pitavastatin	DOID:10652	Alzheimer's disease
NCT01388478	DB00413	Pramipexole	DOID:10652	Alzheimer's disease
NCT00303277	DB00175	Pravastatin	DOID:10652	Alzheimer's disease
NCT00161473	DB00457	Prazosin	DOID:10652	Alzheimer's disease
NCT01126099	DB00457	Prazosin	DOID:10652	Alzheimer's disease
NCT00000178	DB00635	Prednisone	DOID:10652	Alzheimer's disease
NCT02707458	DB01599	Probucol	DOID:10652	Alzheimer's disease
NCT01640275	DB00818	Propofol	DOID:10652	Alzheimer's disease
NCT01903421	DB00818	Propofol	DOID:10652	Alzheimer's disease
NCT01993836	DB00818	Propofol	DOID:10652	Alzheimer's disease
NCT01584440	DB00908	Quinidine	DOID:10652	Alzheimer's disease
NCT01832350	DB00908	Quinidine	DOID:10652	Alzheimer's disease
NCT02442765	DB00908	Quinidine	DOID:10652	Alzheimer's disease
NCT02442778	DB00908	Quinidine	DOID:10652	Alzheimer's disease
NCT02446132	DB00908	Quinidine	DOID:10652	Alzheimer's disease
NCT00065767	DB00481	Raloxifene	DOID:10652	Alzheimer's disease
NCT00368459	DB00481	Raloxifene	DOID:10652	Alzheimer's disease
NCT00980785	DB00178	Ramipril	DOID:10652	Alzheimer's disease
NCT00104273	DB01367	Rasagiline	DOID:10652	Alzheimer's disease
NCT02359552	DB01367	Rasagiline	DOID:10652	Alzheimer's disease
NCT00439166	DB01045	Rifampicin	DOID:10652	Alzheimer's disease
NCT00692588	DB01045	Rifampicin	DOID:10652	Alzheimer's disease
NCT00715858	DB01045	Rifampicin	DOID:10652	Alzheimer's disease
NCT01002079	DB01045	Rifampicin	DOID:10652	Alzheimer's disease
NCT01703117	DB00740	Riluzole	DOID:10652	Alzheimer's disease
NCT00034762	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00208819	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00245206	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00249145	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00249158	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00253123	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00287742	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00417482	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00626613	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT01119638	DB00734	Risperidone	DOID:10652	Alzheimer's disease
NCT00018382	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00265148	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00334568	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00348140	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00348309	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00381238	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00428090	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00468897	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00490568	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00550420	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00688207	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00692510	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00733785	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT00884533	DB00412	Rosiglitazone	DOID:10652	Alzheimer's disease
NCT02051335	DB00747	Scopolamine	DOID:10652	Alzheimer's disease
NCT02273895	DB00747	Scopolamine	DOID:10652	Alzheimer's disease
NCT00086138	DB01104	Sertraline	DOID:10652	Alzheimer's disease
NCT01903421	DB01236	Sevoflurane	DOID:10652	Alzheimer's disease
NCT00053599	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT00303277	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT00486044	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT00939822	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT01142336	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT01439555	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT01978327	DB00641	Simvastatin	DOID:10652	Alzheimer's disease
NCT02085265	DB00966	Telmisartan	DOID:10652	Alzheimer's disease
NCT02471833	DB00966	Telmisartan	DOID:10652	Alzheimer's disease
NCT00392912	DB00624	Testosterone	DOID:10652	Alzheimer's disease
NCT00539305	DB00624	Testosterone	DOID:10652	Alzheimer's disease
NCT01094340	DB01041	Thalidomide	DOID:10652	Alzheimer's disease
NCT00000179	DB00656	Trazodone	DOID:10652	Alzheimer's disease
NCT01142258	DB00656	Trazodone	DOID:10652	Alzheimer's disease
NCT01940952	DB06267	Udenafil	DOID:10652	Alzheimer's disease
NCT00071721	DB00313	Valproic Acid	DOID:10652	Alzheimer's disease
NCT01729598	DB00313	Valproic Acid	DOID:10652	Alzheimer's disease
NCT00117403	DB00126	Vitamin C	DOID:10652	Alzheimer's disease
NCT00000173	DB00163	Vitamin E	DOID:10652	Alzheimer's disease
NCT00040378	DB00163	Vitamin E	DOID:10652	Alzheimer's disease
NCT00056329	DB00163	Vitamin E	DOID:10652	Alzheimer's disease
NCT00117403	DB00163	Vitamin E	DOID:10652	Alzheimer's disease
NCT00235716	DB00163	Vitamin E	DOID:10652	Alzheimer's disease
NCT01594346	DB00163	Vitamin E	DOID:10652	Alzheimer's disease
NCT00689637	DB00682	Warfarin	DOID:10652	Alzheimer's disease
NCT00726726	DB00682	Warfarin	DOID:10652	Alzheimer's disease
NCT00827034	DB00682	Warfarin	DOID:10652	Alzheimer's disease
NCT00814502	DB00425	Zolpidem	DOID:10652	Alzheimer's disease
NCT00357682	DB00945	Acetylsalicylic acid	DOID:9206	Barrett's esophagus
NCT00474903	DB00945	Acetylsalicylic acid	DOID:9206	Barrett's esophagus
NCT00637988	DB00945	Acetylsalicylic acid	DOID:9206	Barrett's esophagus
NCT02521285	DB00945	Acetylsalicylic acid	DOID:9206	Barrett's esophagus
NCT02513784	DB00878	Chlorhexidine	DOID:9206	Barrett's esophagus
NCT01465113	DB00169	Cholecalciferol	DOID:9206	Barrett's esophagus
NCT00216788	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT00352261	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT00357682	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT00474903	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT00546065	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT00637559	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT00637988	DB00736	Esomeprazole	DOID:9206	Barrett's esophagus
NCT01384695	DB00693	Fluorescein	DOID:9206	Barrett's esophagus
NCT00352261	DB00448	Lansoprazole	DOID:9206	Barrett's esophagus
NCT01093755	DB00448	Lansoprazole	DOID:9206	Barrett's esophagus
NCT02162758	DB00448	Lansoprazole	DOID:9206	Barrett's esophagus
NCT01566474	DB01065	Melatonin	DOID:9206	Barrett's esophagus
NCT01447927	DB00331	Metformin	DOID:9206	Barrett's esophagus
NCT01465113	DB00331	Metformin	DOID:9206	Barrett's esophagus
NCT02004782	DB00959	Methylprednisolone	DOID:9206	Barrett's esophagus
NCT00216788	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT00352261	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT00357682	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT00474903	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT00546065	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT00637559	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT00637988	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT01093755	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT01129778	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT01465113	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT01566474	DB00338	Omeprazole	DOID:9206	Barrett's esophagus
NCT01203163	DB00707	Porfimer	DOID:9206	Barrett's esophagus
NCT01209013	DB00707	Porfimer	DOID:9206	Barrett's esophagus
NCT01256203	DB00707	Porfimer	DOID:9206	Barrett's esophagus
NCT02004782	DB00860	Prednisolone	DOID:9206	Barrett's esophagus
NCT01384227	DB01123	Proflavine	DOID:9206	Barrett's esophagus
NCT01384695	DB01123	Proflavine	DOID:9206	Barrett's esophagus
NCT01384864	DB01123	Proflavine	DOID:9206	Barrett's esophagus
NCT02018367	DB01123	Proflavine	DOID:9206	Barrett's esophagus
NCT00357682	DB00936	Salicylic acid	DOID:9206	Barrett's esophagus
